[2026-09-26T12:09:17.627Z] syncing 1501 Better Bathrooms products to Shopify as DRAFT
[2026-09-26T12:09:30.561Z] ✓ 600mm Black Wall Hung Vanity Unit with Basin - Pendle — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:21:46.089Z] ✓ Riace Horizontal Flat Designer Radiator — 32/32 variants, 36 images, 32 variant images
[2026-09-26T13:21:50.937Z] ✓ Reggio Horizontal Double Column Traditional Radiator - Cast Iron Style — 33/33 variants, 37 images, 33 variant images
[2026-09-26T13:21:55.715Z] ✓ Reggio Vertical Triple Column Traditional Radiator - Cast Iron Style — 21/21 variants, 25 images, 21 variant images
[2026-09-26T13:22:03.740Z] ✓ Anthracite Thermostatic Straight Radiator Valves — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:22:03.742Z] progress 1125/1501 (ok 1118, warnings 0, failed 7)
[2026-09-26T13:22:06.583Z] ✓ Traditional Heated Towel Shelf Radiator 350 x 550mm - Regent — 2/2 variants, 8 images, 2 variant images
[2026-09-26T13:22:07.495Z] ✓ Horizontal Column Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 3/3 variants, 8 images, 3 variant images
[2026-09-26T13:22:11.608Z] ✓ Knurled Round Straight Radiator Valves — 2/2 variants, 3 images, 2 variant images
[2026-09-26T13:22:12.724Z] ✓ White and Brass Traditional Electric Column Radiator with Towel Rail 952 x 659mm - Regent — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:22:21.242Z] ✓ Anthracite Square Angled Radiator Valves — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:22:28.533Z] ✓ electriQ Smart Modern LED TRV Thermostatic Radiator Valves Wi-Fi Version — 2/2 variants, 8 images, 2 variant images
[2026-09-26T13:22:28.974Z] ✓ White Electric Towel Radiator 600W with Wi-Fi Thermostat - H650xW450mm - Bathroom Safe — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:22:31.327Z] ✓ Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 14/14 variants, 19 images, 14 variant images
[2026-09-26T13:22:37.246Z] ✓ Towel Radiator - Sahara — 6/6 variants, 11 images, 6 variant images
[2026-09-26T13:22:37.653Z] ✓ Anthracite Flat Panel Smart Electric Towel Radiator with Wi-Fi Thermostat - 1000W - H1200xW500mm - Bathroom Safe — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:22:45.899Z] ✓ Gunmetal Grey Square Manual Angled Radiator Valves — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:22:52.986Z] ✓ Smart Electric Towel Radiator with Wi-Fi Thermostat - Bathroom Safe — 4/4 variants, 9 images, 4 variant images
[2026-09-26T13:22:58.473Z] ✓ Reggio Horizontal Triple Column Traditional Radiator - Cast Iron Style — 24/24 variants, 28 images, 24 variant images
[2026-09-26T13:22:58.874Z] ✓ Radiator Pipe Covers 300mm — 3/3 variants, 5 images, 3 variant images
[2026-09-26T13:23:02.604Z] ✓ Brass Horizontal Towel Radiator 600 x 1000mm - Tundra — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:23:08.173Z] ✓ Midnight Black Electric Horizontal Column Radiator with Wi-Fi Thermostat - 1200W - H400xW830mm - Bathroom Safe — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:23:08.530Z] ✓ Reggio Two Column Traditional Radiator Feet — 3/3 variants, 6 images, 3 variant images
[2026-09-26T13:23:08.934Z] ✓ White Electric Vertical Designer Radiator 1200W with Wi-Fi Thermostat - Double Panel H1600xW354mm - IPX4 Bathroom Safe — 1/1 variants, 9 images, 1 variant images
[2026-09-26T13:23:17.205Z] ✓ electriQ 750W Smart Slim Gloss White Glass Panel Heater Wall Mounted or Skirting Fitted Bathroom Safe Energy Efficient — 1/1 variants, 14 images, 1 variant images
[2026-09-26T13:23:24.883Z] ✓ Black Vertical 2 Column Traditional Radiator 1600 x 470mm - Nambi — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:23:29.014Z] ✓ Horizontal Single Panel Radiator with Heated Towel Bar 600 x 604mm - Mojave — 2/2 variants, 8 images, 2 variant images
[2026-09-26T13:23:29.421Z] ✓ Electric Traditional Column Radiator with Towel Rail 952 x 659mm - Regent — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:23:29.832Z] ✓ Vertical Column Radiator with Towel Bars 1800 x 460mm - Nevis — 2/2 variants, 8 images, 2 variant images
[2026-09-26T13:23:33.395Z] ✓ Anthracite Horizontal 2 Column Traditional Radiator 600 x 830mm - Nambi — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:23:38.796Z] ✓ White Vertical Single Panel Corner Traditional Radiator 1800 x 315mm – Aster — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:23:38.797Z] progress 1150/1501 (ok 1143, warnings 0, failed 7)
[2026-09-26T13:23:39.533Z] ✓ Black Vertical Single Panel Mirrored Radiator 1600 x 452mm - Tanami — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:23:54.161Z] ✓ Vertical Electric Towel Radiator - Sagaro — 2/2 variants, 8 images, 2 variant images
[2026-09-26T13:23:57.766Z] ✓ Towel Radiator - Nazco — 18/18 variants, 25 images, 18 variant images
[2026-09-26T13:24:00.518Z] ✓ Cleopatra Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 5/5 variants, 9 images, 5 variant images
[2026-09-26T13:24:07.803Z] ✓ Riace Vertical Flat Towel Radiator — 26/26 variants, 30 images, 26 variant images
[2026-09-26T13:24:17.155Z] ✓ Elk Brown Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 4/4 variants, 8 images, 4 variant images
[2026-09-26T13:24:23.416Z] ✓ Russet Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 5/5 variants, 9 images, 5 variant images
[2026-09-26T13:24:25.464Z] ✓ Vertical Smart Smart Electric Radiator with Mirror - 1200W - H1800xW500mm - Bathroom Safe — 4/4 variants, 12 images, 4 variant images
[2026-09-26T13:24:28.925Z] ✓ Evergreen Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 5/5 variants, 9 images, 5 variant images
[2026-09-26T13:24:31.987Z] ✓ electriQ 2000W Anthracite Smart Aluminium Electric Designer Radiator - Sleek Wall Mounted & Energy Efficient Panel Heater — 1/1 variants, 7 images, 1 variant images
[2026-09-26T13:24:38.438Z] ✓ Evergreen Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 4/4 variants, 8 images, 4 variant images
[2026-09-26T13:24:45.142Z] ✓ Smoked Stone Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 6/6 variants, 10 images, 6 variant images
[2026-09-26T13:24:48.565Z] ✓ Elk Brown Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 4/4 variants, 8 images, 4 variant images
[2026-09-26T13:24:51.626Z] ✓ Russet Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 3/3 variants, 7 images, 3 variant images
[2026-09-26T13:24:58.087Z] ✓ Salt & Pepper Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 3/3 variants, 7 images, 3 variant images
[2026-09-26T13:25:05.028Z] ✓ Salt & Pepper Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 5/5 variants, 9 images, 5 variant images
[2026-09-26T13:25:08.614Z] ✓ Cleopatra Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 3/3 variants, 7 images, 3 variant images
[2026-09-26T13:25:12.229Z] ✓ Smoked Stone Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 4/4 variants, 8 images, 4 variant images
[2026-09-26T13:25:19.365Z] ✓ Reggio Horizontal Double Column Radiator - Cast Iron Style — 4/4 variants, 7 images, 4 variant images
[2026-09-26T13:25:27.177Z] ✓ Sorrento Linea Oval Designer Radiator - Horizontal Bars — 3/3 variants, 8 images, 3 variant images
[2026-09-26T13:25:28.418Z] ✓ Brass Vertical Traditional Electric Towel Radiator 700 x 400mm - Regent — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:25:28.893Z] ✓ Ravello Vertical Square Designer Radiator — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:25:32.540Z] ✓ Eco Eleganza Vertical Flat Aluminium Middle Connection Radiator — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:25:48.264Z] ✓ Designer Curved Towel Radiator - Ordos — 4/4 variants, 9 images, 4 variant images
[2026-09-26T13:25:51.574Z] ✓ Towel Radiator - Sonoran — 9/9 variants, 16 images, 9 variant images
[2026-09-26T13:25:51.576Z] progress 1175/1501 (ok 1168, warnings 0, failed 7)
[2026-09-26T13:25:53.317Z] ✓ Curved Towel Radiator - Ember — 12/12 variants, 17 images, 12 variant images
[2026-09-26T13:25:56.912Z] ✓ Riace Vertical Flat Towel Rail Radiator — 10/10 variants, 14 images, 10 variant images
[2026-09-26T13:26:01.205Z] ✓ Sorrento Smoked Stone Horizontal Oval Designer Radiator 600x413mm Single Panel 1103 BTU — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:26:08.734Z] ✓ Eco Eleganza Anthracite Vertical Flat Designer Aluminium Radiator — 4/4 variants, 9 images, 4 variant images
[2026-09-26T13:26:11.960Z] ✓ Riace Smoked Stone Vertical Flat Designer Radiator — 4/4 variants, 8 images, 4 variant images
[2026-09-26T13:26:20.146Z] ✓ Riace Linea Flat Designer Radiator - Horizontal Bars — 8/8 variants, 11 images, 8 variant images
[2026-09-26T13:26:20.585Z] ✓ Reggio Horizontal Triple Column Radiator 800x1010mm 5736 BTU - Cast Iron Style — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:26:28.352Z] ✓ Sorrento Salt & Pepper Vertical Oval Designer Radiator — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:26:28.778Z] ✓ Sorrento Smoked Stone Vertical Oval Designer Radiator 1600x236mm Double Panel 2234 BTU — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:26:32.074Z] ✓ Riace Salt & Pepper Vertical Flat Designer Radiator — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:26:40.842Z] ✓ Chrome Towel Radiator with Pipe Kit and Straight Valves - Sahara — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:26:51.556Z] ✓ Towel Radiator with Pipe Kit and Straight Valves - Nazco — 10/10 variants, 13 images, 10 variant images
[2026-09-26T13:26:52.510Z] ✓ Towel Radiator with Pipe Kit and Straight Valves - Sonoran — 6/6 variants, 13 images, 6 variant images
[2026-09-26T13:26:56.768Z] ✓ Maesta Traditional TRV Angled Thermostatic Radiator Valves With Lockshield — 7/7 variants, 13 images, 7 variant images
[2026-09-26T13:27:00.516Z] ✓ Bronze Round Angled Radiator Valves - Nazco — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:27:05.293Z] ✓ Elego Modern Manual Angled Radiator Valves (pair) — 8/8 variants, 11 images, 8 variant images
[2026-09-26T13:27:05.723Z] ✓ Elego Chrome Modern TRV Base Corner with Lockshield — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:27:09.243Z] ✓ Elego Chrome Modern TRV Angled Thermostatic Radiator Valves With Lockshield — 1/1 variants, 8 images, 1 variant images
[2026-09-26T13:27:14.324Z] ✓ Elego Chrome Modern TRV H Block Thermostatic Radiator Valves — 1/1 variants, 8 images, 1 variant images
[2026-09-26T13:27:14.747Z] ✓ electriQ Smart Modern LCD TRV Thermostatic Radiator Valves Tuya Zigbee Version — 3/3 variants, 9 images, 3 variant images
[2026-09-26T13:27:15.159Z] ✓ Beige Square Manual Angled Radiator Valves — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:27:19.291Z] ✓ Bronze Round Straight Radiator Valves - Nazco — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:27:27.212Z] ✓ Maesta Chrome Traditional Manual Straight Radiator Valves (pair) — 1/1 variants, 8 images, 1 variant images
[2026-09-26T13:27:34.562Z] ✓ Beige Square Manual Straight Radiator Valves — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:27:34.950Z] ✓ Cross Head Traditional Straight Radiator Valves — 2/2 variants, 3 images, 2 variant images
[2026-09-26T13:27:34.950Z] progress 1200/1501 (ok 1193, warnings 0, failed 7)
[2026-09-26T13:27:35.406Z] ✓ Elego Modern TRV Straight Thermostatic Radiator Valves With Lockshield — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:27:41.381Z] ✓ Elego Modern TRV Angled Thermostatic Radiator Valves With Lockshield — 4/4 variants, 11 images, 4 variant images
[2026-09-26T13:27:43.770Z] ✓ Elego Chrome & White Modern Corner Thermostatic Radiator Valve Set with Lockshield — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:27:44.192Z] ✓ Elego Anthracite Gray Modern Manual H Block Angled Radiator Valves (pair) — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:27:44.610Z] ✓ Elego Chrome Modern Manual H Block Angled Radiator Valves With Lockshield — 1/1 variants, 8 images, 1 variant images
[2026-09-26T13:27:52.327Z] ✓ Gunmetal Grey Square Manual Straight Radiator Valves — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:27:52.795Z] ✓ Elego Chrome Modern TRV Base Straight with Lockshield — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:27:53.230Z] ✓ Anthracite Square Straight Radiator Valves — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:28:01.714Z] ✓ Maesta Traditional Manual Angled Radiator Valves With Lockshield — 3/3 variants, 8 images, 3 variant images
[2026-09-26T13:28:02.152Z] ✓ Elego Chrome Modern Manual H Block Radiator Valves — 1/1 variants, 8 images, 1 variant images
[2026-09-26T13:28:10.878Z] ✓ Tuya Zigbee Hub with 1.5M USB-C Cable — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:28:12.362Z] ✓ Elego Modern Manual Angled Radiator Valves (pair) — 4/4 variants, 7 images, 4 variant images
[2026-09-26T13:28:13.581Z] ✓ Elego White Modern TRV Straight Thermostatic Radiator Valves With Lockshield — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:28:21.907Z] ✓ Designer Wall-Mounted Towel Holder for Steel & Electric Radiators — 3/3 variants, 8 images, 3 variant images
[2026-09-26T13:28:22.330Z] ✓ electriQ Smart WiFi RF Wireless Thermostat with Receiver for Boilers - Alexa & Google Home — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:28:31.561Z] ✓ Reggio Three Column Traditional Radiator Feet — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:28:33.061Z] ✓ Designer Towel Holder for Steel & Electric Radiators — 5/5 variants, 10 images, 5 variant images
[2026-09-26T13:28:41.768Z] ✓ electriQ Smart Wi-Fi Thermostatic Heating Element for Electric & Dual-Fuel Radiators and Towel Rails - Plug-In or Hardwired — 3/3 variants, 7 images, 3 variant images
[2026-09-26T13:28:42.284Z] ✓ Sorrento Designer Radiator Feet - Suitable for Single and Double Panel Radiator — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:28:50.515Z] ✓ Beige Horizontal Wave Designer Single Panel Radiator 600 x 970 - Elbrus — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:28:51.517Z] ✓ Riace Designer Radiator Feet - Suitable for Flat Double Panel Radiator — 3/3 variants, 6 images, 3 variant images
[2026-09-26T13:28:53.289Z] ✓ electriQ Thermostatic Wi-Fi Heating Element for Electric Radiators Dual-fuel or Towel rail - Plug-In and Hardwired Options — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:29:01.373Z] ✓ Sorrento Anthracite Designer Radiator Feet -Suitable for Oval Double Panel Radiator — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:29:03.431Z] ✓ Vertical Double Panel Radiator 1200 x 500mm - Nevada — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:29:10.501Z] ✓ Close Coupled Toilet and Basin Suite - Addison — 1/1 variants, 8 images, 1 variant images
[2026-09-26T13:29:10.502Z] progress 1225/1501 (ok 1218, warnings 0, failed 7)
[2026-09-26T13:29:11.772Z] ✓ Elego Dual Fuel T Piece — 3/3 variants, 4 images, 3 variant images
[2026-09-26T13:29:19.776Z] ✓ Close Coupled Closed Back Toilet with Sink on Top & Fittings Cloakroom Suite - Legend — 6/6 variants, 18 images, 6 variant images
[2026-09-26T13:29:24.583Z] ✓ Single Ended Bath Suite with Toilet Basin and Panels - Alton — 2/2 variants, 10 images, 2 variant images
[2026-09-26T13:29:32.791Z] ✓ 1600mm Straight Bath Suite with Toilet, Basin & Panels - Alton — 1/1 variants, 9 images, 1 variant images
[2026-09-26T13:29:34.423Z] ✓ Offset Quadrant Shower Enclosure Suite with Toilet & Basin - Carina — 6/6 variants, 18 images, 6 variant images
[2026-09-26T13:29:36.234Z] ✓ Freestanding Shower Bath Suite with Toilet and Basin - Kona — 6/6 variants, 16 images, 6 variant images
[2026-09-26T13:29:40.849Z] ✓ Close Coupled Toilet and Basin Vanity Unit Cloakroom Suite - Baxenden — 2/2 variants, 10 images, 2 variant images
[2026-09-26T13:29:44.297Z] ✓ Modern 1300mm Freestanding Bath Suite with Toilet & Basin - Pico — 1/1 variants, 9 images, 1 variant images
[2026-09-26T13:29:49.467Z] ✓ Close Coupled Toilet and White Gloss Basin Vanity Unit Cloakroom Suite - Ashford — 1/1 variants, 15 images, 1 variant images
[2026-09-26T13:29:49.892Z] ✓ Close Coupled Toilet and Basin Bathroom Suite - Newport — 1/1 variants, 10 images, 1 variant images
[2026-09-26T13:29:59.312Z] ✓ Modern Freestanding Bath Suite with Toilet & Basin - Lisbon — 4/4 variants, 13 images, 4 variant images
[2026-09-26T13:30:02.414Z] ✓ Comfort Height Close Coupled Toilet and Basin with Tap & Waste Cloakroom Suite - Indiana — 1/1 variants, 12 images, 1 variant images
[2026-09-26T13:30:09.971Z] ✓ Shower Bath Suite with Toilet Basin & Panels - Lomax — 8/8 variants, 19 images, 8 variant images
[2026-09-26T13:30:11.281Z] ✓ Alcor White Gloss Wall Hung Toilet and Basin Suite — 1/1 variants, 8 images, 1 variant images
[2026-09-26T13:30:15.463Z] ✓ Shower Bath Suite with Toilet Basin & Panels - Alton — 2/2 variants, 13 images, 2 variant images
[2026-09-26T13:30:24.763Z] ✓ Quadrant Chrome Shower Enclosure Suite with Toilet & Basin - Carina — 2/2 variants, 14 images, 2 variant images
[2026-09-26T13:30:34.365Z] ✓ Black Quadrant Shower Enclosure Bathroom Suite with Toilet & Sink Unit - Pavo — 4/4 variants, 14 images, 4 variant images
[2026-09-26T13:30:35.401Z] ✓ Walk in Shower Enclosure Suite with Toilet and Basin - Corvus — 9/9 variants, 18 images, 9 variant images
[2026-09-26T13:30:39.810Z] ✓ Freestanding Shower Bath Suite with Toilet and Basin - Amaro — 5/5 variants, 17 images, 5 variant images
[2026-09-26T13:30:48.553Z] ✓ Traditional Freestanding Bath Suite with Toilet & Basin - Park Royal — 3/3 variants, 11 images, 3 variant images
[2026-09-26T13:30:57.588Z] ✓ Traditional Shower Bath Suite with Toilet & Basin - Park Royal — 3/3 variants, 12 images, 3 variant images
[2026-09-26T13:30:58.427Z] ✓ Chrome Rectangular Sliding Door Shower Enclosure Suite with Toilet and Basin - Carina — 2/2 variants, 11 images, 2 variant images
[2026-09-26T13:31:02.711Z] ✓ Rectangular Sliding Door Shower Enclosure with Side Panel Suite with Toilet and Basin - Pavo — 4/4 variants, 14 images, 4 variant images
[2026-09-26T13:31:10.476Z] ✓ Close Coupled Toilet and Basin Suite - Albi — 1/1 variants, 9 images, 1 variant images
[2026-09-26T13:31:11.437Z] ✓ Rectangular Sliding Door Shower Enclosure Suite with Toilet and Basin - Pavo — 4/4 variants, 13 images, 4 variant images
[2026-09-26T13:31:11.437Z] progress 1250/1501 (ok 1243, warnings 0, failed 7)
[2026-09-26T13:31:20.986Z] ✓ Traditional Freestanding Bath Suite with Toilet & Wash Stand with Basin - Helmsley — 3/3 variants, 11 images, 3 variant images
[2026-09-26T13:31:21.770Z] ✓ Chrome Rectangular Sliding Door Shower Enclosure with Side Panel Suite with Toilet and Basin - Carina — 2/2 variants, 11 images, 2 variant images
[2026-09-26T13:31:23.365Z] ✓ Single Ended 1700mm Shower Bath with Toilet Basin Panels and Bath Screen - Alton — 1/1 variants, 12 images, 1 variant images
[2026-09-26T13:31:31.921Z] ✓ 1300 x 800mm Walk in Shower Enclosure Suite with Ashford Toilet and Basin — 3/3 variants, 10 images, 3 variant images
[2026-09-26T13:31:35.357Z] ✓ 1700mm Straight Shower Bath Suite with Front Panel & White Toilet and Sink Unit - Alton — 1/1 variants, 13 images, 1 variant images
[2026-09-26T13:31:40.846Z] ✓ Rectangular Heated Bathroom Mirror with Lights 500 x 700mm - Capella — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:31:44.252Z] ✓ Round Backlit Heated Bathroom Mirror with Lights - Luna — 3/3 variants, 9 images, 3 variant images
[2026-09-26T13:31:45.855Z] ✓ Arched Backlit Heated Bathroom Mirror with Lights 500 x 800mm - Empire — 5/5 variants, 9 images, 5 variant images
[2026-09-26T13:31:49.542Z] ✓ Round Backlit Bathroom Mirror with Battery Operated Lights 600mm - Luna — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:31:53.199Z] ✓ Oval Black Backlit Bathroom Mirror with Battery Operated Lights 500 x 800mm - Venus — 1/1 variants, 9 images, 1 variant images
[2026-09-26T13:31:55.075Z] ✓ Close Coupled Toilet and Basin Suite - Roma — 1/1 variants, 9 images, 1 variant images
[2026-09-26T13:32:00.990Z] ✓ Rectangular Heated Bathroom Mirror with Lights Shaver Socket & Bluetooth Speaker - Divine — 5/5 variants, 12 images, 5 variant images
[2026-09-26T13:32:01.811Z] ✓ Rectangular Black Bathroom Mirror with Shelf - 500 x 700mm - Iona — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:32:10.331Z] ✓ Round Heated Bathroom Mirror with Lights - Antares — 4/4 variants, 10 images, 4 variant images
[2026-09-26T13:32:15.390Z] ✓ Round Backlit Bathroom Mirror with Battery Operated Lights - Elio — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:32:21.030Z] ✓ Rectangular Heated Bathroom Mirror with Lights - Ariel — 3/3 variants, 8 images, 3 variant images
[2026-09-26T13:32:21.959Z] ✓ Round Backlit Heated Bathroom Mirror with Lights - Orion — 4/4 variants, 8 images, 4 variant images
[2026-09-26T13:32:29.906Z] ✓ Rectangular Backlit Heated Bathroom Mirror with Lights & Bluetooth Speaker - Vela — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:32:35.232Z] ✓ Traditional Backlit Heated Bathroom Mirror with Lights 500 x 750mm - Zeus — 2/2 variants, 8 images, 2 variant images
[2026-09-26T13:32:39.138Z] ✓ Arched Backlit Heated Tall Bathroom Mirror with Lights 500 x 1800mm - Elod — 1/1 variants, 8 images, 1 variant images
[2026-09-26T13:32:40.868Z] ✓ Half Circle Backlit Heated Bathroom Mirror with Lights - Ara — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:32:42.543Z] ✓ Oval Backlit Heated Bathroom Mirror with Lights - Irena — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:32:54.901Z] ✓ Oval Backlit Heated Bathroom Mirror with Lights - Venus — 3/3 variants, 8 images, 3 variant images
[2026-09-26T13:33:00.214Z] ✓ Pebble Backlit Heated Bathroom Mirror with Lights - Apollo — 2/2 variants, 9 images, 2 variant images
[2026-09-26T13:33:01.381Z] ✓ Square Front and Backlit Heated Bathroom Mirror with Lights - Saturn — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:33:01.383Z] progress 1275/1501 (ok 1268, warnings 0, failed 7)
[2026-09-26T13:33:01.810Z] ✓ Rectangular Backlit Heated Bathroom Mirror with Lights - Taurus — 6/6 variants, 12 images, 6 variant images
[2026-09-26T13:33:03.064Z] ✓ Rectangular Heated Bathroom Mirror with Lights 1200 x 600m -Ariel — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:33:12.709Z] ✓ Rectangular Heated Bathroom Mirror with Lights & Shaver Socket 500 x 700mm -Pegasus — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:33:21.627Z] ✓ Rectangular Bathroom Mirror 750 x 700mm - Camden — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:33:22.521Z] ✓ Round Magnifying Makeup Bathroom Mirror with Lights 200mm - Gemini — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:33:22.943Z] ✓ Rectangular Backlit Heated Bathroom Mirror with Lights - Vela — 2/2 variants, 8 images, 2 variant images
[2026-09-26T13:33:31.211Z] ✓ Half Circle Corner Backlit Heated Bathroom Mirror with Lights 800mm – Virgo — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:33:32.293Z] ✓ Round Tiltable Bathroom Mirror with Lights 600mm - Arissa — 1/1 variants, 7 images, 1 variant images
[2026-09-26T13:33:33.511Z] ✓ Pebble Backlit Heated Bathroom Mirror with Lights 760 x 800mm - Aster — 2/2 variants, 9 images, 2 variant images
[2026-09-26T13:33:41.407Z] ✓ Rectangular Heated Bathroom Mirror with Lights 500 x 700mm - Leo — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:33:44.998Z] ✓ Sensio Lumino Evo+ Rectangular Bathroom Mirror with Battery Operated Lights — 2/2 variants, 8 images, 2 variant images
[2026-09-26T13:33:50.031Z] ✓ Sensio Rockford Rectangular Bathroom Mirror Dual Tier 600 x 400mm — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:33:52.602Z] ✓ Sensio Libra Rectangular Heated Bathroom Mirror with Lights Ultra Slim — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:33:53.281Z] ✓ Round Black & Brass Heated Bathroom Mirror with Lights 800mm - Arlo — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:33:55.213Z] ✓ Rectangular Angled Bathroom Mirror 500 x 800mm - Arissa — 4/4 variants, 9 images, 4 variant images
[2026-09-26T13:33:59.782Z] ✓ Rectangular Tiltable Bathroom Mirror with Lights 600 x 800mm - Arissa — 1/1 variants, 7 images, 1 variant images
[2026-09-26T13:34:03.118Z] ✓ Rectangular Concrete Effect Bathroom Mirror 700 x 450mm - Arragon — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:34:03.958Z] ✓ Round Black Heated Bathroom Mirror with Lights 800mm - Nyx — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:34:06.221Z] ✓ Sensio Aspect Curve Round Black Heated Bathroom Mirror with Lights - 600mm — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:34:12.502Z] ✓ Rectangular Bathroom Mirror 400 x 600mm - Helios — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:34:13.316Z] ✓ Sensio Aspect Rectangular Black Heated Bathroom Mirror with Lights 700 x 500mm — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:34:14.857Z] ✓ Sensio Mistral Teardrop Backlit Heated Bathroom Mirror with Lights 550 x 800mm — 1/1 variants, 9 images, 1 variant images
[2026-09-26T13:34:22.539Z] ✓ Sensio Nebula Oval Bronze Heated Bathroom Mirror with Lights 500 x 800mm — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:34:23.360Z] ✓ Pebble Frameless Bathroom Mirror - Apollo — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:34:25.101Z] ✓ Rectangular Backlit Bathroom Mirror with Battery Operated Lights 500 x 700mm - Elio — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:34:25.104Z] progress 1300/1501 (ok 1293, warnings 0, failed 7)
[2026-09-26T13:34:31.748Z] ✓ Chrome Pivot Shower Bath Screen 1450 x 775mm - Taurus — 1/1 variants, 2 images, 1 variant images
