[2026-09-26T15:23:09.276Z] variant photo sets for 1 Better Bathrooms products
[2026-09-26T15:23:18.122Z] ✓ Wall Hung Vanity Unit with Basin - Pendle — 9 variants, 5-5 photos each, 32 uploaded, 45 media total
[2026-09-26T15:45:36.227Z] ✓ Reggio Two Column Traditional Radiator Feet — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:45:37.940Z] ✓ Riace Designer Radiator Feet - Suitable for Flat Double Panel Radiator — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:45:48.261Z] ✓ Riace Vertical Flat Towel Rail Radiator — 10 variants, 5-5 photos each, 36 uploaded, 50 media total
[2026-09-26T15:45:50.204Z] ✓ Riace Linea Flat Designer Radiator - Horizontal Bars — 8 variants, 4-6 photos each, 31 uploaded, 42 media total
[2026-09-26T15:45:58.826Z] ✓ Reggio Horizontal Triple Column Traditional Radiator - Cast Iron Style — 24 variants, 4-5 photos each, 91 uploaded, 119 media total
[2026-09-26T15:46:04.839Z] ✓ Riace Salt & Pepper Vertical Flat Designer Radiator — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:46:06.220Z] ✓ Reggio Horizontal Double Column Traditional Radiator - Cast Iron Style — 33 variants, 4-6 photos each, 127 uploaded, 164 media total
[2026-09-26T15:46:11.244Z] ✓ Riace Smoked Stone Vertical Flat Designer Radiator — 4 variants, 5-5 photos each, 12 uploaded, 20 media total
[2026-09-26T15:46:15.125Z] ✓ Close Coupled Rimless Toilet with Soft Close Seat - Roma — 2 variants, 9-10 photos each, 8 uploaded, 19 media total
[2026-09-26T15:46:16.756Z] ✓ Riace Vertical Flat Towel Radiator — 26 variants, 5-5 photos each, 100 uploaded, 130 media total
[2026-09-26T15:46:16.757Z] progress 500/629 (ok 500, failed 0, uploaded 7354)
[2026-09-26T15:46:18.967Z] ✓ Riace Horizontal Flat Designer Radiator — 32 variants, 4-6 photos each, 125 uploaded, 161 media total
[2026-09-26T15:46:24.318Z] ✓ Round Backlit Bathroom Mirror with Battery Operated Lights - Elio — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:46:25.516Z] ✓ Round Magnifying Makeup Bathroom Mirror with Lights 200mm - Gemini — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:46:28.327Z] ✓ Round Backlit Heated Bathroom Mirror with Lights - Orion — 4 variants, 5-5 photos each, 12 uploaded, 20 media total
[2026-09-26T15:46:32.806Z] ✓ Riace Vertical Flat Designer Radiator — 42 variants, 4-6 photos each, 162 uploaded, 208 media total
[2026-09-26T15:46:33.118Z] ✓ Round Heated Bathroom Mirror with Lights - Antares — 4 variants, 7-7 photos each, 18 uploaded, 28 media total
[2026-09-26T15:46:33.451Z] ✓ Russet Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:46:37.147Z] ✓ Russet Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 5 variants, 5-5 photos each, 16 uploaded, 25 media total
[2026-09-26T15:46:40.227Z] ✓ Single Ended Whirlpool Spa Bath with 14 Whirlpool Jets - Rutland — 2 variants, 3-6 photos each, 2 uploaded, 9 media total
[2026-09-26T15:46:40.522Z] ✓ Freestanding Bath Shower Mixer Tap - Arissa — 4 variants, 2-4 photos each, 7 uploaded, 14 media total
[2026-09-26T15:46:41.216Z] ✓ Salt & Pepper Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:46:44.507Z] ✓ Salt & Pepper Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 5 variants, 5-5 photos each, 16 uploaded, 25 media total
[2026-09-26T15:46:47.207Z] ✓ Half Circle Backlit Heated Bathroom Mirror with Lights - Ara — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:46:48.501Z] ✓ Sensio Lumino Evo+ Rectangular Bathroom Mirror with Battery Operated Lights — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:46:48.921Z] ✓ Oval Countertop Basin - Shell — 4 variants, 4-7 photos each, 9 uploaded, 19 media total
[2026-09-26T15:46:51.015Z] ✓ Freestanding Double Ended Bath 1690 x 800mm - Helmsley — 3 variants, 6-6 photos each, 10 uploaded, 18 media total
[2026-09-26T15:46:54.614Z] ✓ Single Bowl Inset Kitchen Sink with Reversible Drainer - Enza Tamara — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:46:55.833Z] ✓ Single Bowl Inset Chrome Stainless Steel Kitchen Sink - Enza Aria — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:46:56.403Z] ✓ Inset Granite Composite Kitchen Sink - Enza Madison — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:46:58.481Z] ✓ Single Bowl Undermount Granite Composite Kitchen Sink - Enza Madison — 4 variants, 6-6 photos each, 15 uploaded, 24 media total
[2026-09-26T15:47:00.509Z] ✓ Single Door Bathroom Mirror Cabinet with Lights Demister & Shaver Socket 500 x 800mm - Empire — 3 variants, 9-11 photos each, 18 uploaded, 29 media total
[2026-09-26T15:47:02.047Z] ✓ Single Bowl White Ceramic Kitchen Sink - Taylor & Moore Esme — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:47:05.468Z] ✓ Single Bowl Inset Composite Kitchen Sink with Reversible Drainer - Essence Amelia — 4 variants, 5-8 photos each, 15 uploaded, 23 media total
[2026-09-26T15:47:07.219Z] ✓ Single Door Corner Bathroom Mirror Cabinet with Lights 300 x 600mm - Lykos — 2 variants, 8-8 photos each, 7 uploaded, 16 media total
[2026-09-26T15:47:07.736Z] ✓ Single Ended Bath Suite with Toilet Basin and Panels - Alton — 2 variants, 9-9 photos each, 8 uploaded, 18 media total
[2026-09-26T15:47:07.736Z] progress 525/629 (ok 525, failed 0, uploaded 7851)
[2026-09-26T15:47:09.047Z] ✓ Single Ended Shower Bath with Front Panel & Brushed Brass Screen - Alton — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:47:13.128Z] ✓ Single Ended Shower Bath with Front Panel & Bath Screen - Cotswold — 5 variants, 6-9 photos each, 18 uploaded, 29 media total
[2026-09-26T15:47:14.815Z] ✓ Single Ended Whirlpool Spa Bath with 6 Whirlpool Jets 1700 x 750mm - Alton — 3 variants, 4-6 photos each, 8 uploaded, 14 media total
[2026-09-26T15:47:14.938Z] ✓ Single Ended Shower Bath with Front Panel & Bath Screen with Towel Rail - Rutland — 2 variants, 7-8 photos each, 6 uploaded, 15 media total
[2026-09-26T15:47:16.427Z] ✓ Single Ended Whirlpool Spa Bath with 8 Whirlpool Jets 1700 x 750mm - Alton — 3 variants, 3-4 photos each, 6 uploaded, 11 media total
[2026-09-26T15:47:19.426Z] ✓ Single Ended Wide End Shower Bath - Cotswold — 2 variants, 5-6 photos each, 2 uploaded, 9 media total
[2026-09-26T15:47:22.030Z] ✓ Single Lever Monobloc Kitchen Mixer Tap - Enza Tamara — 6 variants, 2-3 photos each, 6 uploaded, 13 media total
[2026-09-26T15:47:22.370Z] ✓ Small Freestanding Double Ended Bath 1300 x 700mm - Pico — 2 variants, 6-7 photos each, 5 uploaded, 13 media total
[2026-09-26T15:47:24.087Z] ✓ Smoked Stone Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 4 variants, 5-5 photos each, 12 uploaded, 20 media total
[2026-09-26T15:47:26.739Z] ✓ Smoked Stone Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 6 variants, 5-5 photos each, 20 uploaded, 30 media total
[2026-09-26T15:47:30.091Z] ✓ Sorrento Salt & Pepper Vertical Oval Designer Radiator — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:47:32.291Z] ✓ Sorrento Designer Radiator Feet - Suitable for Single and Double Panel Radiator — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:47:35.616Z] ✓ Sorrento Linea Oval Designer Radiator - Horizontal Bars — 3 variants, 5-6 photos each, 9 uploaded, 17 media total
[2026-09-26T15:47:35.618Z] ✓ Square Front and Backlit Heated Bathroom Mirror with Lights - Saturn — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:47:43.349Z] ✓ Round Countertop Basin 400mm - Zorah — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:47:43.364Z] ✓ Sorrento Horizontal Oval Designer Radiator — 30 variants, 4-5 photos each, 105 uploaded, 139 media total
[2026-09-26T15:47:45.969Z] ✓ Single Bowl Undermount Kitchen Sink - Enza Tamara — 4 variants, 5-6 photos each, 13 uploaded, 22 media total
[2026-09-26T15:47:50.818Z] ✓ Dual Lever Monobloc Kitchen Mixer Tap - Enza Tamara — 5 variants, 2-4 photos each, 5 uploaded, 12 media total
[2026-09-26T15:47:51.140Z] ✓ Oval Countertop Basin 525mm - Tennessee — 2 variants, 4-5 photos each, 3 uploaded, 9 media total
[2026-09-26T15:47:52.552Z] ✓ Tileable Shower Niche - Arissa — 3 variants, 3-4 photos each, 5 uploaded, 11 media total
[2026-09-26T15:47:55.394Z] ✓ Sorrento Vertical Oval Designer Radiator — 37 variants, 4-5 photos each, 133 uploaded, 174 media total
[2026-09-26T15:47:57.536Z] ✓ Single Towel Bar 380mm - Margo — 2 variants, 3-4 photos each, 3 uploaded, 7 media total
[2026-09-26T15:47:58.696Z] ✓ Traditional 1 Tap Hole Basin with Wash Stand 570mm - Ripley — 3 variants, 6-6 photos each, 10 uploaded, 18 media total
[2026-09-26T15:47:58.961Z] ✓ 570mm Traditional 2 Tap Holes Basin with Wash Stand - Ripley — 2 variants, 5-6 photos each, 3 uploaded, 10 media total
[2026-09-26T15:48:02.270Z] ✓ Traditional Backlit Heated Bathroom Mirror with Lights 500 x 750mm - Zeus — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:48:02.272Z] progress 550/629 (ok 550, failed 0, uploaded 8252)
[2026-09-26T15:48:05.297Z] ✓ Traditional Freestanding Bath Suite with Toilet & Basin - Park Royal — 3 variants, 9-10 photos each, 17 uploaded, 28 media total
[2026-09-26T15:48:06.880Z] ✓ Close Coupled Traditional Toilet with Wooden Soft Close Seat & Fittings - Park Royal — 2 variants, 10-11 photos each, 10 uploaded, 21 media total
[2026-09-26T15:48:07.460Z] ✓ Traditional Shower Bath Suite with Toilet & Basin - Park Royal — 3 variants, 10-10 photos each, 18 uploaded, 30 media total
[2026-09-26T15:48:09.220Z] ✓ Traditional Exposed Shallow Seal Bath Trap & Pipe - Park Royal — 3 variants, 3-4 photos each, 5 uploaded, 10 media total
[2026-09-26T15:48:12.465Z] ✓ Traditional Freestanding Bath Suite with Toilet & Wash Stand with Basin - Helmsley — 3 variants, 9-10 photos each, 17 uploaded, 28 media total
[2026-09-26T15:48:14.779Z] ✓ Single Lever French Traditional Monobloc Kitchen Mixer Tap - Enza Evelyn — 2 variants, 3-3 photos each, 1 uploaded, 5 media total
[2026-09-26T15:48:15.983Z] ✓ 2 Outlet Traditional Thermostatic Bar Mixer Shower Set with Hand Shower - Camden — 4 variants, 4-11 photos each, 20 uploaded, 30 media total
[2026-09-26T15:48:15.988Z] ✓ Triple Door Bathroom Mirror Cabinet with Lights Demister & Shaver Socket 1200 x 690mm - Empire — 2 variants, 9-10 photos each, 8 uploaded, 19 media total
[2026-09-26T15:48:19.251Z] ✓ Triton Aspirante Electric Shower — 3 variants, 9-12 photos each, 16 uploaded, 30 media total
[2026-09-26T15:48:21.079Z] ✓ 2 Outlet Thermostatic Mixer Shower Set with Integrated Hand Shower - Cambridge — 2 variants, 2-2 photos each, 1 uploaded, 4 media total
[2026-09-26T15:48:22.869Z] ✓ Wall Hung Rimless Short Projection Toilet with Soft Close Seat - Verona — 2 variants, 11-13 photos each, 10 uploaded, 24 media total
[2026-09-26T15:48:23.428Z] ✓ Vertical Column Radiator with Towel Bars 1800 x 460mm - Nevis — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:48:25.876Z] ✓ Wall Hung Basin 600mm - Atlanta — 2 variants, 4-5 photos each, 3 uploaded, 9 media total
[2026-09-26T15:48:28.320Z] ✓ Square Wall Hung Basin 497mm - Bowen — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:48:31.919Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Mechanical Flush Plate, 1160mm Frame & Cistern - Austin — 3 variants, 9-11 photos each, 13 uploaded, 26 media total
[2026-09-26T15:48:33.623Z] ✓ Wall Hung Rimless Short Projection Toilet with Soft Close Seat - Newport — 2 variants, 9-10 photos each, 9 uploaded, 19 media total
[2026-09-26T15:48:37.822Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Pneumatic Flush Plate, Frame & Cistern - Austin — 4 variants, 9-11 photos each, 22 uploaded, 1 failed+removed, 36 media total
[2026-09-26T15:48:39.152Z] ✓ Wall Hung Smart Bidet Japanese Toilet & 1160mm Frame Cistern and Flush Plate - Purificare — 3 variants, 10-16 photos each, 17 uploaded, 35 media total
[2026-09-26T15:48:40.313Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Pneumatic Flush Plate, Frame & Cistern - Austin — 10 variants, 8-12 photos each, 66 uploaded, 1 failed+removed, 86 media total
[2026-09-26T15:48:42.649Z] ✓ Wall Hung Smart Bidet Japanese Toilet with Heated Seat & 1160mm Frame Cistern and Pneumatic Flush Plate - Purificare — 3 variants, 20-21 photos each, 14 uploaded, 37 media total
[2026-09-26T15:48:43.800Z] ✓ Wall Hung Smart Bidet Japanese Toilet & 820mm Frame Cistern and Pneumatic Flush Plate - Purificare — 5 variants, 15-18 photos each, 31 uploaded, 52 media total
[2026-09-26T15:48:44.504Z] ✓ Wall Hung Smart Bidet Japanese Toilet with Heated Seat & 820mm Frame Cistern and Pneumatic Flush Plate - Purificare — 3 variants, 20-23 photos each, 15 uploaded, 40 media total
[2026-09-26T15:48:44.582Z] ✓ Wall Hung Smart Bidet Japanese Toilet & 1160mm Frame Cistern and Pneumatic Flush Plate - Purificare — 5 variants, 16-18 photos each, 28 uploaded, 48 media total
[2026-09-26T15:48:51.555Z] ✓ Wall Hung Smart Bidet Japanese Toilet with Heated Seat & 820mm Frame Cistern and Sensor Flush Plate - Purificare — 2 variants, 20-20 photos each, 6 uploaded, 27 media total
[2026-09-26T15:48:53.446Z] ✓ Wall Hung Smart Bidet Japanese Toilet with Heated Seat, Glass Cabinet, Frame, Cistern & Pneumatic Dual Flush Button - Purificare — 2 variants, 20-20 photos each, 5 uploaded, 26 media total
[2026-09-26T15:48:53.447Z] progress 575/629 (ok 575, failed 0, uploaded 8613)
[2026-09-26T15:48:57.532Z] ✓ Wall Hung Smart Bidet Japanese Toilet with Glass Cabinet, Frame, Cistern & Pneumatic Dual Flush Button - Purificare — 4 variants, 7-14 photos each, 22 uploaded, 39 media total
[2026-09-26T15:48:58.812Z] ✓ Wall Hung Smart Bidet Japanese Toilet with Heated Seat - Purificare — 6 variants, 16-20 photos each, 95 uploaded, 116 media total
[2026-09-26T15:48:59.229Z] ✓ Wall Hung Smart Bidet Japanese Toilet with Heated Seat, Pneumatic Flush Plate, 820mm Frame & Cistern - Purificare — 4 variants, 13-23 photos each, 24 uploaded, 40 media total
[2026-09-26T15:49:03.198Z] ✓ Wall Hung Smart Bidet Japanese Toilet with Frame Cistern and Sensor Flush Plate - Purificare — 4 variants, 14-15 photos each, 33 uploaded, 50 media total
[2026-09-26T15:49:03.516Z] ✓ Wall Hung Toilet with Glass Cabinet, Cistern & Pneumatic Dual Flush Button - Roma — 2 variants, 12-14 photos each, 4 uploaded, 19 media total
[2026-09-26T15:49:09.630Z] ✓ Wall Hung Toilet with Soft Close Seat Pneumatic Flush Plate 820mm Frame & Cistern - Verona White — 3 variants, 14-14 photos each, 18 uploaded, 34 media total
[2026-09-26T15:49:09.753Z] ✓ Wall Hung Toilet with Soft Close Seat Pneumatic Flush Plate 1170mm Frame & Cistern - Newport — 3 variants, 13-14 photos each, 21 uploaded, 37 media total
[2026-09-26T15:49:16.552Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Pneumatic Flush Plate, Frame & Cistern - Verona — 5 variants, 14-14 photos each, 37 uploaded, 55 media total
[2026-09-26T15:49:17.205Z] ✓ Wall Hung Toilet with Soft Close Seat Mechanical Flush Plate with 1160mm Frame & Cistern - Newport — 3 variants, 14-14 photos each, 22 uploaded, 38 media total
[2026-09-26T15:49:19.647Z] ✓ Wall Hung Toilet with Soft Close Seat Pneumatic Flush Plate 1170mm Frame & Cistern - Alcor — 3 variants, 14-14 photos each, 18 uploaded, 34 media total
[2026-09-26T15:49:20.091Z] ✓ Wall Hung Toilet with Soft Close Seat Pneumatic Flush Plate 820mm Frame & Cistern - Alcor — 3 variants, 14-14 photos each, 18 uploaded, 34 media total
[2026-09-26T15:49:25.112Z] ✓ Wall Hung Toilet with Soft Close Seat, Gunmetal Flush Plate, Frame & Cistern - Albi — 2 variants, 17-17 photos each, 10 uploaded, 28 media total
[2026-09-26T15:49:25.652Z] ✓ Wall Hung Toilet with Soft Close Seat Pneumatic Flush Plate 820mm Frame & Cistern - Newport — 3 variants, 14-14 photos each, 22 uploaded, 38 media total
[2026-09-26T15:49:27.774Z] ✓ Wall Hung Toilet with Soft Close Seat Glass Sensor Pneumatic Flush Plate 1170mm Frame & Cistern - Alcor — 2 variants, 15-15 photos each, 10 uploaded, 26 media total
[2026-09-26T15:49:28.413Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, 1168mm Frame & Cistern - Newport — 2 variants, 15-15 photos each, 12 uploaded, 28 media total
[2026-09-26T15:49:32.789Z] ✓ Wall Hung Toilet with Soft Close Seat Glass Sensor Pneumatic Flush Plate 820mm Frame & Cistern - Alcor — 2 variants, 15-15 photos each, 10 uploaded, 26 media total
[2026-09-26T15:49:33.922Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, 1168mm Frame & Cistern - Verona — 3 variants, 13-15 photos each, 19 uploaded, 34 media total
[2026-09-26T15:49:34.900Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, 820mm Frame & Cistern - Verona — 2 variants, 15-15 photos each, 10 uploaded, 26 media total
[2026-09-26T15:49:35.525Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, 820mm Frame & Cistern - Verona — 2 variants, 14-15 photos each, 10 uploaded, 25 media total
[2026-09-26T15:49:39.438Z] ✓ Wall Hung Toilet with Soft Close Toilet Seat, Brushed Bronze Flush Plate, Frame & Cistern - Albi — 2 variants, 17-17 photos each, 10 uploaded, 28 media total
[2026-09-26T15:49:40.639Z] ✓ Wall Hung Toilet with Soft Close Toilet Seat, Pneumatic Flush Plate, Frame & Cistern - Alcor — 2 variants, 17-17 photos each, 9 uploaded, 27 media total
[2026-09-26T15:49:42.229Z] ✓ 500mm Back to Wall Toilet Unit Only - Palma — 3 variants, 3-3 photos each, 4 uploaded, 9 media total
[2026-09-26T15:49:42.693Z] ✓ Waterproof Slatted Wall Panel End Cap Grooved — 4 variants, 3-3 photos each, 6 uploaded, 12 media total
[2026-09-26T15:49:45.678Z] ✓ Waterproof Slatted Wall Panel End Cap Tonged — 4 variants, 3-3 photos each, 6 uploaded, 12 media total
[2026-09-26T15:49:47.912Z] ✓ Bath Mixer Tap - Wave — 2 variants, 3-3 photos each, 2 uploaded, 6 media total
[2026-09-26T15:49:47.912Z] progress 600/629 (ok 600, failed 0, uploaded 9065)
[2026-09-26T15:49:49.213Z] ✓ Cloakroom Mono Basin Mixer Tap - Wave — 3 variants, 4-5 photos each, 6 uploaded, 13 media total
[2026-09-26T15:49:49.486Z] ✓ Tall Mono Basin Mixer Tap - Wave — 3 variants, 2-5 photos each, 7 uploaded, 11 media total
[2026-09-26T15:49:51.957Z] ✓ Mono Basin Mixer Tap - Wave — 3 variants, 3-5 photos each, 5 uploaded, 12 media total
[2026-09-26T15:49:54.233Z] ✓ Double Door Bathroom Mirror Cabinet 667 x 600mm - Westbury — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:49:55.970Z] ✓ White Athena Marble Wall Panel with Tongue and Groove - Wetwall — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:49:56.227Z] ✓ Electric Traditional Column Radiator with Towel Rail 952 x 659mm - Regent — 2 variants, 6-6 photos each, 4 uploaded, 11 media total
[2026-09-26T15:49:58.354Z] ✓ Close Coupled Toilet and Basin Vanity Unit Cloakroom Suite - Baxenden — 2 variants, 9-9 photos each, 8 uploaded, 18 media total
[2026-09-26T15:50:00.965Z] ✓ Comfort Height Close Coupled Toilet - Roma — 2 variants, 9-11 photos each, 6 uploaded, 18 media total
[2026-09-26T15:50:03.141Z] ✓ Double Door Wall Mounted Tall Bathroom Cabinet 400x1400mm Storage Unit - Pendle — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:50:03.652Z] ✓ Horizontal Column Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 3 variants, 6-6 photos each, 10 uploaded, 18 media total
[2026-09-26T15:50:06.785Z] ✓ Vertical Smart Smart Electric Radiator with Mirror - 1200W - H1800xW500mm - Bathroom Safe — 4 variants, 6-9 photos each, 21 uploaded, 33 media total
[2026-09-26T15:50:11.599Z] ✓ Glass Cabinet with Cistern & Pneumatic Dual Flush Button for Back to Wall Toilets - Hako — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:50:11.857Z] ✓ Glass WC Toilet Unit with Cistern & Pneumatic Dual Flush Button for Back to Wall Toilets - Hako — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:50:14.519Z] ✓ Horizontal Single Panel Radiator with Heated Towel Bar 600 x 604mm - Mojave — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:50:17.487Z] ✓ Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 32 variants, 5-9 photos each, 167 uploaded, 205 media total
[2026-09-26T15:50:19.428Z] ✓ Roll Top Deep Freestanding Bath 1300 x 720mm - Florence — 2 variants, 4-7 photos each, 6 uploaded, 11 media total
[2026-09-26T15:50:19.636Z] ✓ Round Soft Close Toilet Seat with Quick Release - Oregon — 2 variants, 6-7 photos each, 6 uploaded, 13 media total
[2026-09-26T15:50:22.794Z] ✓ Round Wooden Soft Close Toilet Seat with Quick Release and Hinges - Park Royal — 4 variants, 3-7 photos each, 10 uploaded, 16 media total
[2026-09-26T15:50:24.371Z] ✓ Square Soft Close Toilet Seat with Quick Release - Albi — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:50:27.262Z] ✓ Square Wall Hung Basin with Rack 497mm - Bowen — 4 variants, 5-6 photos each, 13 uploaded, 21 media total
[2026-09-26T15:50:30.267Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Mechanical Flush Plate, 1168mm Frame & Cistern - Roma — 3 variants, 14-14 photos each, 6 uploaded, 22 media total
[2026-09-26T15:50:30.556Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Mechanical Flush Plate, 1168mm Frame & Cistern - Verona — 5 variants, 12-13 photos each, 44 uploaded, 61 media total
[2026-09-26T15:50:34.909Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Pneumatic Flush Plate, Frame & Cistern - Roma — 10 variants, 13-20 photos each, 56 uploaded, 83 media total
[2026-09-26T15:50:35.189Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, Frame & Cistern - Roma — 4 variants, 14-21 photos each, 18 uploaded, 42 media total
[2026-09-26T15:50:38.357Z] ✓ 1 Outlet Wall Mounted Thermostatic Mixer Shower Set - Zana — 2 variants, 7-9 photos each, 6 uploaded, 16 media total
[2026-09-26T15:50:38.359Z] progress 625/629 (ok 625, failed 0, uploaded 9501)
[2026-09-26T15:50:39.038Z] ✓ Waste Cover - Harmony Tray — 4 variants, 2-2 photos each, 3 uploaded, 8 media total
[2026-09-26T15:50:39.705Z] ✓ L Shaped Shower Bath with Front Panel & Bath Screen, 1700 x 750mm - Yale — 2 variants, 4-5 photos each, 3 uploaded, 9 media total
[2026-09-26T15:50:43.597Z] ✓ 1168mm Wall Hung Toilet Frame & Mechanical Dual Flush Plate with Concealed Cistern - Zana — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:50:45.236Z] ✓ Zana Basin Mixer Tap & Bath Filler Tap Pack — 2 variants, 9-9 photos each, 8 uploaded, 18 media total
[2026-09-26T15:50:45.237Z] finished: 629 ok, 0 failed, 9520 photos uploaded
